Id,zip,caseRate,vacinationRate,allHouseholdIncome,familyIncome,familyChildrenIncome,percentFemale,percentMale,percentLatino,percentAsianNonHispanic,percentWhiteNonHispanic,percentOtherEthnicity,percentEthnicityUnkown,percentBlackNonHispanic
1,10001,8133.82,99,92840,122776,106452,0.5,0.5,0.36,0.07,0.02,0.07,0,0.48
2,10002,9699.6,88,36982,40045,42054,0.54,0.46,0.03,0.8,0.17,0,0,0
3,10003,7549.4,79,118161,183787,250001,1,0,0,1,0,0,0,0
4,10004,11305.08,99,190223,205202,244000,0,0,0,0,0,0,0,0
5,10005,7479.54,98,189702,241094,250001,1,0,0,0.5,0,0,0,0.5
6,10006,7303.8,99,179044,245764,250001,0.33,0.67,0.33,0,0.17,0,0,0.5
7,10007,7266.02,99,224063,250001,250001,0,1,0,1,0,0,0,0
8,10009,8481.02,80,63717,71135,76618,0,1,0,1,0,0,0,0
9,10010,6934.91,78,132988,229709,250001,0,0,0,0,0,0,0,0
10,10011,7389.54,85,138272,249545,250001,0.67,0.33,0.33,0,0,0.33,0,0.33
11,10012,7571.68,79,106467,151028,166534,0,0,0,0,0,0,0,0
12,10013,7661.65,88,113191,163951,250001,0.13,0.88,0,1,0,0,0,0
13,10014,7403.73,84,133501,224625,250001,0,0,0,0,0,0,0,0
14,10016,8269.15,97,126628,206816,230733,0.71,0.29,0.53,0,0,0,0,0.47
15,10017,7455.2,99,131045,218875,250001,0,0,0,0,0,0,0,0
16,10018,7692.6,99,122484,185688,48705,0.67,0.33,0,1,0,0,0,0
17,10019,8214.16,99,103792,176972,167896,0,0,0,0,0,0,0,0
18,10021,6184.12,79,122169,240453,250001,0,0,0,0,0,0,0,0
19,10022,6518.61,99,150718,250001,250001,1,0,0,1,0,0,0,0
20,10023,5734.64,87,132605,228389,249033,0.71,0.29,0.43,0.14,0,0,0,0.43
21,10024,5865.23,81,143623,246034,250001,1,0,0,0,0.75,0,0.25,0
22,10025,7032.31,80,91624,133439,215882,0.63,0.37,0.56,0,0,0.04,0,0.41
23,10026,8503.95,66,59691,66157,69625,0,0,0,0,0,0,0,0
24,10027,7831.9,70,51938,58680,59837,0.57,0.43,0.14,0.14,0,0.14,0,0.57
25,10028,5820.1,76,122969,237537,250001,0,0,0,0,0,0,0,0
26,10029,10113.16,73,33720,39845,32484,0.65,0.35,0.2,0,0,0.05,0,0.75
27,10030,9238.17,64,42348,53586,41500,0,0,0,0,0,0,0,0
28,10031,9309.85,70,53660,54699,50643,0,0,0,0,0,0,0,0
29,10032,9890.39,72,53525,58919,44799,0.31,0.69,0.69,0.08,0,0.08,0,0.15
30,10033,9405.68,69,63093,66075,74659,0,0,0,0,0,0,0,0
31,10034,9743.89,68,54406,56284,51677,0,0,0,0,0,0,0,0
32,10035,10485.24,75,29799,36645,28300,0,0,0,0,0,0,0,0
33,10036,10072.62,99,95301,112342,84337,1,0,0,0.5,0,0,0,0.5
34,10037,9724.25,68,46263,51536,33839,0,0,0,0,0,0,0,0
35,10038,7553.17,87,95702,93156,146473,0.69,0.31,0.13,0.56,0,0,0,0.31
36,10039,8896,65,42278,44253,38400,0,0,0,0,0,0,0,0
37,10040,10935.64,70,49677,56530,50405,0.8,0.2,0.6,0.2,0,0,0,0.2
38,10044,6151.56,79,104808,121453,165431,0,0,0,0,0,0,0,0
39,10065,6745.74,87,148441,246005,250001,0,0,0,0,0,0,0,0
40,10069,8194.68,92,132500,200150,250001,0,0,0,0,0,0,0,0
41,10075,7854.37,91,138640,177237,175724,0,0,0,0,0,0,0,0
42,10128,6552.39,81,121829,192940,235861,0,0,0,0,0,0,0,0
43,10280,4547.3,73,182760,247627,250001,0,0,0,0,0,0,0,0
44,10282,5043.12,72,250001,250001,250001,0,0,0,0,0,0,0,0
